Order_Number,State_Code,Customer_Name,Order_Date,Status,Product,Category,Brand,Cost,Sales,Quantity,Total_Cost,Total_Sales,Assigned Supervisor,Profit
139374.0,AP,Adhir Samal,11/01/2020,Delivered,512 GB M.2,SSD,Samsung,6500.0,8450.0,1.0,6500.0,8450.0,Ajay Sharma,1950.0
139375.0,AP,Dannana Jhammi,11/01/2020,Delivered,RYZEN 3rd gen. 3500 ,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,Roshan Kumar,7650.0
139376.0,AS,Vipin Kumar,11/01/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,2.0,14000.0,18200.0,Aarvi Gupta,4200.0
139377.0,BR,Ranjeet Kumar,11/01/2020,Delivered,16 GB DDR4 RAM,RAM,Hynix,6550.0,8515.0,3.0,19650.0,25545.0,Vijay Singh,5895.0
139378.0,CG,Sajal Singhal,11/01/2020,Order,Standard ATX motherboard,MotherBoard,Gigabyte,7650.0,9945.0,4.0,30600.0,39780.0,Aadil Khan,9180.0
139379.0,CG,Akhilesh Kumar,11/01/2020,Order,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,2.0,2300.0,2990.0,Advika Joshi,690.0
139380.0,CG,Suvankar Chakraborty,11/01/2020,Order,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,3.0,2550.0,3315.0,Ajay Sharma,765.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
139381.0,CG,Suvankar Adhikary,12/01/2020,Order,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,2.0,1300.0,1690.0,Ajay Sharma,390.0
139382.0,CG,Rahul Kumar Prajapati,13/01/2020,Order,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,1.0,7500.0,9750.0,Roshan Kumar,2250.0
139383.0,JK,Sagar Jeur,14/01/2020,Order,2 TB HDD,HDD,Seagate,10000.0,13000.0,3.0,30000.0,39000.0,Aarvi Gupta,9000.0
,,,,,,,,,,,,,,
139384.0,JH,Rhushikesh Mane,15/01/2020,Order,1 TB SSD,SSD,Samsung,10500.0,13650.0,1.0,10500.0,13650.0,Aadil Khan,3150.0
139385.0,KA,Ashish Kumar,16/01/2020,Order,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,Advika Joshi,10200.0
139386.0,KL,Javed Akhter,17/01/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,2.0,14000.0,18200.0,Ajay Sharma,4200.0
139387.0,KL,Haridas Balraj,18/01/2020,Processing,4 GB DDR4 Ram,RAM,Hynix,1680.0,2184.0,1.0,1680.0,2184.0,Ajay Sharma,504.0
139388.0,KL,Kundan Kumar,19/01/2020,Processing,Micro ATX motherboard,MotherBoard,MSI,6540.0,8502.0,2.0,13080.0,17004.0,Roshan Kumar,3924.0
139389.0,MN,Atif Siddiqui,20/01/2020,Processing,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,1.0,2680.0,3484.0,Aarvi Gupta,804.0
139390.0,ML,Aditya Agarwal,21/01/2020,Processing,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,2.0,16500.0,21450.0,Vijay Singh,4950.0
139391.0,MZ,Firdoush Jabee,22/01/2020,Processing,8 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,4.0,10600.0,13780.0,Aadil Khan,3180.0
139392.0,NL,Jay Prakash Kumar,22/01/2020,Processing,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,2.0,25100.0,32630.0,Advika Joshi,7530.0
139393.0,OR,Ashish Pandey,22/01/2020,Processing,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,2.0,29000.0,37700.0,Ajay Sharma,8700.0
139394.0,PB,Ajay Sharma,22/01/2020,Processing,USB Keyboard,Keyboard,Dell,800.0,1040.0,1.0,800.0,1040.0,Roshan Kumar,240.0
139395.0,RJ,Moinuddin Saifi,22/01/2020,Processing,Wireless Mouse,Mouse,Samsung,600.0,780.0,3.0,1800.0,2340.0,Aarvi Gupta,540.0
139396.0,SK,Ramkrishna Das Adhikary,22/01/2020,Processing,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,4.0,42000.0,54600.0,Vijay Singh,12600.0
139397.0,TN,Ranjeet Mandal,23/01/2020,Processing,2 TB HDD,HDD,Western Digital,6500.0,8450.0,1.0,6500.0,8450.0,Aadil Khan,1950.0
,,,,,,,,,,,,,,
139398.0,TR,Ashwini Adsare,24/01/2020,Processing,257 GB SSD,SSD,Samsung,4500.0,5850.0,4.0,18000.0,23400.0,Ajay Sharma,5400.0
139399.0,UK,Rajesh Variya,25/01/2020,Processing,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,2.0,17000.0,22100.0,Roshan Kumar,5100.0
139400.0,UP,Amit Singh,26/01/2020,Processing,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,2.0,25000.0,32500.0,Aarvi Gupta,7500.0
139401.0,WB,Vinod Mehta,26/01/2020,Shipped,9 GB DDR4 RAM,Computer Case,Hynix,3500.0,4550.0,3.0,10500.0,13650.0,Vijay Singh,3150.0
139402.0,TN,Jignesh Mhatre,26/01/2020,Order,BTX motherboard,Mouse,Gigabyte,4500.0,5850.0,4.0,18000.0,23400.0,Aadil Khan,5400.0
139403.0,TR,Rahul Kashyap,26/01/2020,Order,4 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,Advika Joshi,1890.0
139404.0,AN,Mohammed Abdul Kaleem,27/01/2020,Order,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,3.0,3450.0,4485.0,Ajay Sharma,1035.0
139405.0,CH,Chandrakant Kasbe,28/01/2020,Order,USB Mouse,Mouse,Samsung,350.0,455.0,1.0,350.0,455.0,Roshan Kumar,105.0
139406.0,CH,Rohan Kale,29/01/2020,Order,"19"" LED Display",Monitor,Dell,9500.0,12350.0,3.0,28500.0,37050.0,Aarvi Gupta,8550.0
139407.0,CH,Aniruddha Kekapure,30/01/2020,Processing,3 TB HDD,HDD,Western Digital,10000.0,13000.0,1.0,10000.0,13000.0,Vijay Singh,3000.0
139408.0,CH,Aslam Raza,31/01/2020,Delivered,513 GB M.2,SSD,Samsung,6500.0,8450.0,3.0,19500.0,25350.0,Aadil Khan,5850.0
139409.0,CH,Roshan Zameer,01/02/2020,Shipped,RYZEN 3rd gen. 3501,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,Advika Joshi,10200.0
139410.0,CH,Rakesh Kumar Sharma,01/02/2020,Shipped,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,3.0,21000.0,27300.0,Ajay Sharma,6300.0
139411.0,CH,Shivanand Sahani,01/02/2020,Shipped,17 GB DDR4 RAM,Computer Case,Hynix,6550.0,8515.0,3.0,19650.0,25545.0,Roshan Kumar,5895.0
139412.0,AR,Kunal Patra,01/02/2020,Shipped,Standard ATX motherboard,Mouse,Gigabyte,7650.0,9945.0,3.0,22950.0,29835.0,Aarvi Gupta,6885.0
139413.0,AS,Bijendra,02/02/2020,Shipped,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,1.0,1150.0,1495.0,Vijay Singh,345.0
139414.0,BR,Kranti Bheke,03/02/2020,Shipped,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,1.0,850.0,1105.0,Aadil Khan,255.0
,,,,,,,,,,,,,,
139415.0,CG,Jagdeep,03/02/2020,Shipped,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,2.0,1300.0,1690.0,Ajay Sharma,390.0
139416.0,GA,Adhir Samal,03/02/2020,Shipped,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,1.0,7500.0,9750.0,Roshan Kumar,2250.0
139417.0,GJ,Dannana Jhammi,04/02/2020,Shipped,3 TB HDD,HDD,Seagate,10000.0,13000.0,3.0,30000.0,39000.0,Aarvi Gupta,9000.0
139418.0,GJ,Vipin Kumar,05/02/2020,Shipped,2 TB SSD,SSD,Samsung,10500.0,13650.0,2.0,21000.0,27300.0,Vijay Singh,6300.0
139419.0,GJ,Ranjeet Kumar,06/02/2020,Processing,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,Aadil Khan,10200.0
139420.0,GJ,Sajal Singhal,07/02/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,Advika Joshi,8400.0
139421.0,GJ,Akhilesh Kumar,08/02/2020,Shipped,5 GB DDR4 Ram,Computer Case,Hynix,1680.0,2184.0,2.0,3360.0,4368.0,Ajay Sharma,1008.0
139422.0,GJ,Suvankar Chakraborty,09/02/2020,Order,Micro ATX motherboard,Mouse,MSI,6540.0,8502.0,1.0,6540.0,8502.0,Roshan Kumar,1962.0
139423.0,KL,Suvankar Adhikary,10/02/2020,Processing,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,1.0,2680.0,3484.0,Aarvi Gupta,804.0
139424.0,MP,Rahul Kumar Prajapati,11/02/2020,Delivered,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,1.0,8250.0,10725.0,Vijay Singh,2475.0
139425.0,MH,Sagar Jeur,12/02/2020,Shipped,9 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,3.0,7950.0,10335.0,Aadil Khan,2385.0
139426.0,MN,Rhushikesh Mane,13/02/2020,Order,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,3.0,37650.0,48945.0,Advika Joshi,11295.0
139427.0,ML,Ashish Kumar,14/02/2020,Processing,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,3.0,43500.0,56550.0,Ajay Sharma,13050.0
139428.0,MZ,Javed Akhter,15/02/2020,Delivered,USB Keyboard,Keyboard,Dell,800.0,1040.0,3.0,2400.0,3120.0,Roshan Kumar,720.0
139429.0,NL,Haridas Balraj,16/02/2020,Shipped,Wireless Mouse,Mouse,Samsung,600.0,780.0,3.0,1800.0,2340.0,Aarvi Gupta,540.0
139430.0,OR,Kundan Kumar,17/02/2020,Order,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,3.0,31500.0,40950.0,Vijay Singh,9450.0
139431.0,PB,Atif Siddiqui,18/02/2020,Processing,3 TB HDD,HDD,Western Digital,6500.0,8450.0,2.0,13000.0,16900.0,Aadil Khan,3900.0
139432.0,RJ,Aditya Agarwal,19/02/2020,Delivered,258 GB SSD,SSD,Samsung,4500.0,5850.0,2.0,9000.0,11700.0,Advika Joshi,2700.0
139433.0,SK,Firdoush Jabee,19/02/2020,Shipped,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,2.0,17000.0,22100.0,Ajay Sharma,5100.0
139434.0,TN,Jay Prakash Kumar,19/02/2020,Order,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,4.0,50000.0,65000.0,Roshan Kumar,15000.0
139435.0,TN,Ashish Pandey,19/02/2020,Processing,10 GB DDR4 RAM,NIC,Hynix,3500.0,4550.0,2.0,7000.0,9100.0,Aarvi Gupta,2100.0
139436.0,TN,Ajay Sharma,20/02/2020,Delivered,BTX motherboard,Printer,Gigabyte,4500.0,5850.0,2.0,9000.0,11700.0,Vijay Singh,2700.0
139437.0,TN,Moinuddin Saifi,21/02/2020,Shipped,5 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,Aadil Khan,1890.0
139438.0,WB,Ramkrishna Das Adhikary,22/02/2020,Order,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,1.0,1150.0,1495.0,Advika Joshi,345.0
139439.0,TN,Ranjeet Mandal,23/02/2020,Processing,USB Mouse,Mouse,Samsung,350.0,455.0,1.0,350.0,455.0,Ajay Sharma,105.0
139440.0,TR,Ashwini Adsare,24/02/2020,Delivered,"19"" LED Display",Monitor,Dell,9500.0,12350.0,1.0,9500.0,12350.0,Roshan Kumar,2850.0
139441.0,AN,Rajesh Variya,25/02/2020,Shipped,4 TB HDD,HDD,Western Digital,10000.0,13000.0,1.0,10000.0,13000.0,Aarvi Gupta,3000.0
139442.0,CH,Amit Singh,26/02/2020,Order,514 GB M.2,SSD,Samsung,6500.0,8450.0,3.0,19500.0,25350.0,Vijay Singh,5850.0
139443.0,DH,Vinod Mehta,27/02/2020,Processing,RYZEN 3rd gen. 3502,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,Aadil Khan,7650.0
139444.0,DD,Jignesh Mhatre,28/02/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,1.0,7000.0,9100.0,Advika Joshi,2100.0
139445.0,DL,Rahul Kashyap,29/02/2020,Shipped,18 GB DDR4 RAM,NIC,Hynix,6550.0,8515.0,2.0,13100.0,17030.0,Ajay Sharma,3930.0
139446.0,LD,Mohammed Abdul Kaleem,01/03/2020,Order,Standard ATX motherboard,Printer,Gigabyte,7650.0,9945.0,3.0,22950.0,29835.0,Roshan Kumar,6885.0
139447.0,PY,Chandrakant Kasbe,02/03/2020,Processing,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,2.0,2300.0,2990.0,Aarvi Gupta,690.0
139448.0,AP,Rohan Kale,03/03/2020,Delivered,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,1.0,850.0,1105.0,Vijay Singh,255.0
